,Screen Name,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
0,BBC,Fri Jun 22 19:11:28 +0000 2018,"RT @BBCBreakfast: So many reasons to love the #NorthEast of #England.
#Inventions https://t.co/xVseuMG347",0.637,0.259,0.0,0.741,2
1,BBC,Fri Jun 22 19:11:15 +0000 2018,"RT @bbcworldservice: Born without a jaw, Isaiah Acosta has never spoken a word, yet he’s gone on to fulfil his dream of becoming a rapper.…",0.25,0.087,0.0,0.913,3
2,BBC,Fri Jun 22 19:10:41 +0000 2018,"RT @bbcstories: Today marks 70 years since the arrival of Caribbean migrants on the Empire Windrush ship to the UK.

 Back in 2018, how has…",0.0,0.0,0.0,1.0,4
3,BBC,Fri Jun 22 19:10:14 +0000 2018,RT @BBCTwo: How long would it take you to demolish this AMAZING burger? 🍔😵 #MillionPoundMenu https://t.co/KH8VHK2rE6,0.752,0.265,0.0,0.735,5
4,BBC,Fri Jun 22 19:09:53 +0000 2018,"RT @BBCFOUR: With over 10,000 credits, Carol Kaye is one of the most prolific bassists of all time – and her bragging rights are *amazing*.…",0.361,0.098,0.0,0.902,6
5,BBC,Fri Jun 22 19:04:06 +0000 2018,"❤️🐿 Meet the sabre-toothed squirrel whose life was saved by an amateur dentist.
👉 https://t.co/C6gXwp7Yke https://t.co/fp3vGzEW5S",0.422,0.167,0.0,0.833,7
6,BBC,Fri Jun 22 18:01:05 +0000 2018,"😂👛 Everyone has that one mate who always loses their purse... 
#HearHer #LiveAtTheApollo https://t.co/DinViMhGVm",-0.318,0.0,0.15,0.85,8
7,BBC,Fri Jun 22 17:00:21 +0000 2018,🐾🐶💕 Would you give a deaf dog a home? https://t.co/sjbsjOEzqT,0.0,0.0,0.0,1.0,9
8,BBC,Fri Jun 22 16:01:00 +0000 2018,"When the weekend's so close you can almost touch it...  🙌 #FridayFeeling
 @Camila_Cabello https://t.co/eosSiBxZft",0.0,0.0,0.0,1.0,10
9,BBC,Fri Jun 22 13:02:03 +0000 2018,"😂🎤 Hello, it's literally me... 
#HearHer https://t.co/7XMLDQMR3B",0.0,0.0,0.0,1.0,11
10,BBC,Fri Jun 22 12:03:05 +0000 2018,Questions for a Sikh https://t.co/UhKZNiTRtC,0.0,0.0,0.0,1.0,12
11,BBC,Fri Jun 22 11:00:13 +0000 2018,"Why do only some people get blackout drunk?
👉 https://t.co/4C8KOCcSsU https://t.co/8S8axGO0F5",-0.34,0.0,0.211,0.789,13
12,BBC,Fri Jun 22 08:01:04 +0000 2018,"In the aftermath of Hurricane Maria, Michelin-starred @chefjoseandres managed to feed more Puerto Ricans than any g… https://t.co/SXJJG4hnMG",0.0,0.0,0.0,1.0,14
13,BBC,Fri Jun 22 07:28:05 +0000 2018,"'Always forgive your enemies; nothing annoys them so much.'

Oscar Wilde's best quotes.
👉 https://t.co/4ldEknyrSW https://t.co/vr8KdzXP89",0.663,0.378,0.14,0.482,15
14,BBC,Fri Jun 22 07:00:04 +0000 2018,"'I wax my face every 2 weeks and haven't been able to get pregnant, but I won't let polycystic ovary syndrome defin… https://t.co/uyNbPpgeY7",0.0,0.0,0.0,1.0,16
15,BBC,Thu Jun 21 19:03:04 +0000 2018,"😂 That time @NoelFielding11 confronted some rowdy teens…
#LiveAtTheApollo https://t.co/tV9SB4r8Yz",-0.202,0.0,0.184,0.816,17
16,BBC,Thu Jun 21 18:01:06 +0000 2018,📱 Is social media impacting how we express ourselves?  https://t.co/nADRuAW49x,0.0,0.0,0.0,1.0,18
17,BBC,Thu Jun 21 16:42:25 +0000 2018,"RT @bbcthree: What it feels like when you don't want your baby. #HearHer
(turn on your sound) https://t.co/7ErzX8p7Ag",0.313,0.127,0.062,0.811,19
18,BBC,Thu Jun 21 16:01:04 +0000 2018,😍 The Scottish coast is incredible! https://t.co/pn2LdiZwdQ,0.0,0.0,0.0,1.0,20
19,BBC,Thu Jun 21 16:00:09 +0000 2018,"RT @BBCRadio4: Activist
Poet
Director
Actor
Writer...
...and inspiration
@Aardman Animations made a beautiful short film about Maya Angelou…",0.807,0.313,0.0,0.687,21
20,BBC,Fri Jun 22 19:11:28 +0000 2018,"RT @BBCBreakfast: So many reasons to love the #NorthEast of #England.
#Inventions https://t.co/xVseuMG347",0.637,0.259,0.0,0.741,22
21,BBC,Fri Jun 22 19:11:15 +0000 2018,"RT @bbcworldservice: Born without a jaw, Isaiah Acosta has never spoken a word, yet he’s gone on to fulfil his dream of becoming a rapper.…",0.25,0.087,0.0,0.913,23
22,BBC,Fri Jun 22 19:10:41 +0000 2018,"RT @bbcstories: Today marks 70 years since the arrival of Caribbean migrants on the Empire Windrush ship to the UK.

 Back in 2018, how has…",0.0,0.0,0.0,1.0,24
23,BBC,Fri Jun 22 19:10:14 +0000 2018,RT @BBCTwo: How long would it take you to demolish this AMAZING burger? 🍔😵 #MillionPoundMenu https://t.co/KH8VHK2rE6,0.752,0.265,0.0,0.735,25
24,BBC,Fri Jun 22 19:09:53 +0000 2018,"RT @BBCFOUR: With over 10,000 credits, Carol Kaye is one of the most prolific bassists of all time – and her bragging rights are *amazing*.…",0.361,0.098,0.0,0.902,26
25,BBC,Fri Jun 22 19:04:06 +0000 2018,"❤️🐿 Meet the sabre-toothed squirrel whose life was saved by an amateur dentist.
👉 https://t.co/C6gXwp7Yke https://t.co/fp3vGzEW5S",0.422,0.167,0.0,0.833,27
26,BBC,Fri Jun 22 18:01:05 +0000 2018,"😂👛 Everyone has that one mate who always loses their purse... 
#HearHer #LiveAtTheApollo https://t.co/DinViMhGVm",-0.318,0.0,0.15,0.85,28
27,BBC,Fri Jun 22 17:00:21 +0000 2018,🐾🐶💕 Would you give a deaf dog a home? https://t.co/sjbsjOEzqT,0.0,0.0,0.0,1.0,29
28,BBC,Fri Jun 22 16:01:00 +0000 2018,"When the weekend's so close you can almost touch it...  🙌 #FridayFeeling
 @Camila_Cabello https://t.co/eosSiBxZft",0.0,0.0,0.0,1.0,30
29,BBC,Fri Jun 22 13:02:03 +0000 2018,"😂🎤 Hello, it's literally me... 
#HearHer https://t.co/7XMLDQMR3B",0.0,0.0,0.0,1.0,31
30,BBC,Fri Jun 22 12:03:05 +0000 2018,Questions for a Sikh https://t.co/UhKZNiTRtC,0.0,0.0,0.0,1.0,32
31,BBC,Fri Jun 22 11:00:13 +0000 2018,"Why do only some people get blackout drunk?
👉 https://t.co/4C8KOCcSsU https://t.co/8S8axGO0F5",-0.34,0.0,0.211,0.789,33
32,BBC,Fri Jun 22 08:01:04 +0000 2018,"In the aftermath of Hurricane Maria, Michelin-starred @chefjoseandres managed to feed more Puerto Ricans than any g… https://t.co/SXJJG4hnMG",0.0,0.0,0.0,1.0,34
33,BBC,Fri Jun 22 07:28:05 +0000 2018,"'Always forgive your enemies; nothing annoys them so much.'

Oscar Wilde's best quotes.
👉 https://t.co/4ldEknyrSW https://t.co/vr8KdzXP89",0.663,0.378,0.14,0.482,35
34,BBC,Fri Jun 22 07:00:04 +0000 2018,"'I wax my face every 2 weeks and haven't been able to get pregnant, but I won't let polycystic ovary syndrome defin… https://t.co/uyNbPpgeY7",0.0,0.0,0.0,1.0,36
35,BBC,Thu Jun 21 19:03:04 +0000 2018,"😂 That time @NoelFielding11 confronted some rowdy teens…
#LiveAtTheApollo https://t.co/tV9SB4r8Yz",-0.202,0.0,0.184,0.816,37
36,BBC,Thu Jun 21 18:01:06 +0000 2018,📱 Is social media impacting how we express ourselves?  https://t.co/nADRuAW49x,0.0,0.0,0.0,1.0,38
37,BBC,Thu Jun 21 16:42:25 +0000 2018,"RT @bbcthree: What it feels like when you don't want your baby. #HearHer
(turn on your sound) https://t.co/7ErzX8p7Ag",0.313,0.127,0.062,0.811,39
38,BBC,Thu Jun 21 16:01:04 +0000 2018,😍 The Scottish coast is incredible! https://t.co/pn2LdiZwdQ,0.0,0.0,0.0,1.0,40
39,BBC,Thu Jun 21 16:00:09 +0000 2018,"RT @BBCRadio4: Activist
Poet
Director
Actor
Writer...
...and inspiration
@Aardman Animations made a beautiful short film about Maya Angelou…",0.807,0.313,0.0,0.687,41
40,BBC,Thu Jun 21 13:02:34 +0000 2018,"💔🦍 Koko the gorilla has sadly died, aged 46.

Here's the story of her life. https://t.co/rIRb7mHpJx",-0.751,0.0,0.314,0.686,42
41,BBC,Thu Jun 21 12:28:30 +0000 2018,"RT @BBCOne: In 1979, one surgeon was about to make NHS history by performing the UK's first heart transplant. https://t.co/HmUZBE5MLd",0.0,0.0,0.0,1.0,43
42,BBC,Thu Jun 21 12:25:47 +0000 2018,"RT @bbcarts: Artistic Director at @royalcourt, @vicfeatherstone, has curated #Snatches - a series of provocative monologues, written and pe…",0.0,0.0,0.0,1.0,44
43,BBC,Thu Jun 21 12:01:06 +0000 2018,Tessa Sanderson was the first British woman to win an Olympic gold medal in the javelin. #HearHer https://t.co/Kqff1C4QSe,0.784,0.301,0.0,0.699,45
44,BBC,Thu Jun 21 11:01:04 +0000 2018,"🥗 What's behind the rise in veganism?
👉 https://t.co/26dyqv3CWQ https://t.co/KZd2kBVkNW",0.0,0.0,0.0,1.0,46
45,BBC,Thu Jun 21 09:55:19 +0000 2018,"❤️👶 New Zealand's Prime Minister Jacinda Ardern has given birth to a baby girl, making her only the second elected… https://t.co/7LDkCupd1c",0.0,0.0,0.0,1.0,47
46,BBC,Thu Jun 21 09:13:56 +0000 2018,☀️ Thousands of people have witnessed the sunrise at Stonehenge to celebrate the #SummerSolstice. https://t.co/f0PA5HYgRK,0.572,0.209,0.0,0.791,48
47,BBC,Thu Jun 21 08:01:01 +0000 2018,"When a fire at a children's home in Guatemala killed dozens of teenage girls, it exposed a terrifying culture of ab… https://t.co/saKLWSu1NT",-0.898,0.0,0.442,0.558,49
48,BBC,Thu Jun 21 07:45:57 +0000 2018,"☀️ Happy #SummerSolstice! 
Today has an average of 16h 39m of daylight in the UK - that's 8h 49m more than during t… https://t.co/Vg1QFQNU0r",0.611,0.154,0.0,0.846,50
49,BBC,Thu Jun 21 07:27:03 +0000 2018,"🐸👀 Frogs trapped in amber for 99 million years are giving a glimpse of a lost world.
👉 https://t.co/FP7lgt3bLE https://t.co/W6F1W0PCtI",-0.511,0.109,0.258,0.633,51
50,BBC,Thu Jun 21 07:01:04 +0000 2018,🎧🐦🎶 Five glorious minutes of a Caribbean dawn chorus. https://t.co/9t1PVkC4Kn,0.637,0.344,0.0,0.656,52
51,BBC,Wed Jun 20 20:02:08 +0000 2018,🎣 @realbobmortimer and Paul Whitehouse share their personal and hilarious life experiences while travelling around… https://t.co/NeZ1V04R74,0.599,0.274,0.0,0.726,53
52,BBC,Wed Jun 20 18:00:25 +0000 2018,"🍷 @Rihanna. Wine glass stealer extraordinaire.
#TheGNShow https://t.co/no25tcxHJj",-0.402,0.0,0.31,0.69,54
